bukhari61_131190	 حدثنا خالد بن يزيد الكاهلي حدثنا أبو بكر عن أبي حصين عن سعيد بن جبير عن	عن ابن عباس رضى الله عنهما {وجعلناكم شعوبا وقبائل} قال الشعوب القبائل العظام والقبائل البطون 	 حدثنا خالد بن يزيد الكاهلي حدثنا أبو بكر عن أبي حصين عن سعيد بن جبير عن ابن عباس رضى الله عنهما {وجعلناكم شعوبا وقبائل} قال الشعوب القبائل العظام والقبائل البطون 	 Narrated Ibn `Abbas: Regarding the Verse: 'And (We) made you into Shu'ub and Qabail-- (49.13) that Shu'uib means the big Qabail (i.e. nations) while the Qabail (i.e. tribes) means the branch tribes. 
bukhari61_131200	 حدثنا محمد بن بشار حدثنا يحيى بن سعيد عن عبيد الله قال حدثني سعيد بن أبي سعيد عن أبيه عن	عن أبي هريرة رضى الله عنه قال قيل يا رسول الله من أكرم الناس قال أتقاهم قالوا ليس عن هذا نسألك قال فيوسف نبي الله 	 حدثنا محمد بن بشار حدثنا يحيى بن سعيد عن عبيد الله قال حدثني سعيد بن أبي سعيد عن أبيه عن أبي هريرة رضى الله عنه قال قيل يا رسول الله من أكرم الناس قال أتقاهم قالوا ليس عن هذا نسألك قال فيوسف نبي الله 	" Narrated Abu Huraira: Once Allah's Messenger (SL3M) was asked, ""Who is the most honorable amongst the people?"" He said, ""The most righteous (i.e. Allah-fearing) amongst you."" They said, ""We do not ask you about this."" He said, ""Then Joseph, the prophet of Allah."" "
bukhari61_131210	 حدثنا قيس بن حفص حدثنا عبد الواحد حدثنا كليب بن	حدثنا وائل قال حدثتني ربيبة النبي صلى الله عليه وسلم زينب ابنة أبي سلمة قال قلت لها أرأيت النبي صلى الله عليه وسلم أكان من مضر قالت فممن كان إلا من مضر من بني النضر بن كنانة 	 حدثنا قيس بن حفص حدثنا عبد الواحد حدثنا كليب بن وائل قال حدثتني ربيبة النبي صلى الله عليه وسلم زينب ابنة أبي سلمة قال قلت لها أرأيت النبي صلى الله عليه وسلم أكان من مضر قالت فممن كان إلا من مضر من بني النضر بن كنانة 	" Narrated Kulaib bin Wail: I asked Zainab bint Abi Salama (i.e. daughter of the wife of the Prophet, ""Tell me about the Prophet (SL3M) . Did he belong to the tribe of Mudar?"" She replied, ""Yes, he belonged to the tribe of Mudar and was from the offspring of An-Nadr bin Kinana."" "
bukhari61_131220	 حدثنا موسى حدثنا عبد الواحد حدثنا كليب حدثتني	حدثنا ربيبة النبي صلى الله عليه وسلم وأظنها زينب قالت نهى رسول الله صلى الله عليه وسلم عن الدباء والحنتم والمقير والمزفت وقلت لها أخبريني النبي صلى الله عليه وسلم ممن كان من مضر كان قالت فممن كان إلا من مضر كان من ولد النضر بن كنانة 	 حدثنا موسى حدثنا عبد الواحد حدثنا كليب حدثتني ربيبة النبي صلى الله عليه وسلم وأظنها زينب قالت نهى رسول الله صلى الله عليه وسلم عن الدباء والحنتم والمقير والمزفت وقلت لها أخبريني النبي صلى الله عليه وسلم ممن كان من مضر كان قالت فممن كان إلا من مضر كان من ولد النضر بن كنانة 	" Narrated Kulaib: I was told by the Rabiba (i.e. daughter of the wife of the Prophet) who, I think, was Zainab, that the Prophet (forbade the utensils (of wine called) Ad-Dubba, Al-Hantam, Al-Muqaiyar and Al-Muzaffat. I said to her, 'Tell me as to which tribe the Prophet (SL3M) belonged; was he from the tribe of Mudar?'' She replied, ""He belonged to the tribe of Mudar and was from the offspring of An-Nadr bin Kinana. "" "
bukhari61_131231	 حدثني إسحاق بن إبراهيم أخبرنا جرير عن عمارة عن أبي زرعة عن أبي هريرة رضى الله عنه عن	عن رسول الله صلى الله عليه وسلم قال تجدون الناس معادن خيارهم في الجاهلية خيارهم في الإسلام إذا فقهوا وتجدون خير الناس في هذا الشأن أشدهم له كراهية وتجدون شر الناس ذا الوجهين الذي يأتي هؤلاء بوجه ويأتي هؤلاء بوجه 	 حدثني إسحاق بن إبراهيم أخبرنا جرير عن عمارة عن أبي زرعة عن أبي هريرة رضى الله عنه عن رسول الله صلى الله عليه وسلم قال تجدون الناس معادن خيارهم في الجاهلية خيارهم في الإسلام إذا فقهوا وتجدون خير الناس في هذا الشأن أشدهم له كراهية وتجدون شر الناس ذا الوجهين الذي يأتي هؤلاء بوجه ويأتي هؤلاء بوجه 	" Narrated Abu Huraira: Allah's Messenger (SL3M) said, ""You see that the people are of different natures. Those who were the best in the pre-lslamic period, are also the best in Islam if they comprehend religious knowledge. You see that the best amongst the people in this respect (i.e. ambition of ruling) are those who hate it most. And you see that the worst among people is the double faced (person) who appears to these with one face and to the others with another face (i.e a hypocrite). "
bukhari61_131250	 حدثنا قتيبة بن سعيد حدثنا المغيرة عن أبي الزناد عن الأعرج عن	عن أبي هريرة رضى الله عنه أن النبي صلى الله عليه وسلم قال الناس تبع لقريش في هذا الشأن مسلمهم تبع لمسلمهم وكافرهم تبع لكافرهم والناس معادن خيارهم في الجاهلية خيارهم في الإسلام إذا فقهوا تجدون من خير الناس أشد الناس كراهية لهذا الشأن حتى يقع فيه 	 حدثنا قتيبة بن سعيد حدثنا المغيرة عن أبي الزناد عن الأعرج عن أبي هريرة رضى الله عنه أن النبي صلى الله عليه وسلم قال الناس تبع لقريش في هذا الشأن مسلمهم تبع لمسلمهم وكافرهم تبع لكافرهم والناس معادن خيارهم في الجاهلية خيارهم في الإسلام إذا فقهوا تجدون من خير الناس أشد الناس كراهية لهذا الشأن حتى يقع فيه 	" Narrated Abu Huraira: The Prophet (SL3M) said, ""The tribe of Quraish has precedence over the people in this connection (i.e the right of ruling). The Muslims follow the Muslims amongst them, and the infidels follow the infidels amongst them. People are of different natures: The best amongst them in the pre-lslamic period are the best in Islam provided they comprehend the religious knowledge. You will find that the best amongst the people in this respect (i.e. of ruling) is he who hates it (i.e. the idea of ruling) most, till he is given the pledge of allegiance."" "
bukhari61_131260	 حدثنا مسدد حدثنا يحيى عن شعبة حدثني عبد الملك عن طاوس عن	عن ابن عباس رضى الله عنهما – {إلا المودة في القربى} قال فقال سعيد بن جبير قربى محمد صلى الله عليه وسلم فقال إن النبي صلى الله عليه وسلم لم يكن بطن من قريش إلا وله فيه قرابة فنزلت عليه إلا أن تصلوا قرابة بيني وبينكم 	 حدثنا مسدد حدثنا يحيى عن شعبة حدثني عبد الملك عن طاوس عن ابن عباس رضى الله عنهما – {إلا المودة في القربى} قال فقال سعيد بن جبير قربى محمد صلى الله عليه وسلم فقال إن النبي صلى الله عليه وسلم لم يكن بطن من قريش إلا وله فيه قرابة فنزلت عليه إلا أن تصلوا قرابة بيني وبينكم 	" Narrated Tawus: Ibn `Abbas recited the Qur'anic Verse:--'Except to be kind to me for my kin-ship to you--"" (42.23) Sa`id bin Jubair said, ""(The Verse implies) the kinship of Muhammad."" Ibn `Abbas said, ""There was not a single house (i.e. sub-tribe) of Quraish but had a kinship to the Prophet (SL3M) and so the above Verse was revealed in this connection, and its interpretation is: 'O Quraish! You should keep good relation between me (i.e. Muhammad) and you."" "
bukhari61_131270	 حدثنا علي بن عبد الله حدثنا سفيان عن إسماعيل عن قيس عن	عن أبي مسعود يبلغ به النبي صلى الله عليه وسلم قال من ها هنا جاءت الفتن نحو المشرق والجفاء وغلظ القلوب في الفدادين أهل الوبر عند أصول أذناب الإبل والبقر في ربيعة ومضر 	 حدثنا علي بن عبد الله حدثنا سفيان عن إسماعيل عن قيس عن أبي مسعود يبلغ به النبي صلى الله عليه وسلم قال من ها هنا جاءت الفتن نحو المشرق والجفاء وغلظ القلوب في الفدادين أهل الوبر عند أصول أذناب الإبل والبقر في ربيعة ومضر 	" Narrated Abi Mas`ud: The Prophet (SL3M) said, ""From this side from the east, afflictions will appear. Rudeness and lack of mercy are characteristics of the rural bedouins who are busy with their camels and cows (and pay no attention to religion). Such are the tribes of Rabi`a and Mudar."" "
bukhari61_131280	 حدثنا أبو اليمان أخبرنا شعيب عن الزهري قال أخبرني أبو سلمة بن	عن عبد الرحمن أن أبا هريرة رضى الله عنه قال سمعت رسول الله صلى الله عليه وسلم يقول الفخر والخيلاء في الفدادين أهل الوبر والسكينة في أهل الغنم والإيمان يمان والحكمة يمانية سميت اليمن لأنها عن يمين الكعبة والشأم عن يسار الكعبة والمشأمة الميسرة واليد اليسرى الشؤمى والجانب الأيسر الأشأم 	 حدثنا أبو اليمان أخبرنا شعيب عن الزهري قال أخبرني أبو سلمة بن عبد الرحمن أن أبا هريرة رضى الله عنه قال سمعت رسول الله صلى الله عليه وسلم يقول الفخر والخيلاء في الفدادين أهل الوبر والسكينة في أهل الغنم والإيمان يمان والحكمة يمانية سميت اليمن لأنها عن يمين الكعبة والشأم عن يسار الكعبة والمشأمة الميسرة واليد اليسرى الشؤمى والجانب الأيسر الأشأم 	" Narrated Abu Huraira: I heard Allah's Messenger (SL3M) saying, ""Pride and arrogance are characteristics of the rural bedouins while calmness is found among the owners of sheep. Belief is Yemenite, and wisdom is also Yemenite i.e. the Yemenites are well-known for their true belief and wisdom)."" Abu `Abdullah (Al-Bukhari) said, ""Yemen was called so because it is situated to the right of the Ka`ba, and Sham was called so because it is situated to the left of the Ka`ba."" "
bukhari61_131290	 حدثنا أبو اليمان أخبرنا شعيب عن الزهري قال كان محمد بن جبير بن	عن مطعم يحدث أنه بلغ معاوية وهو عنده في وفد من قريش أن عبد الله بن عمرو بن العاص يحدث أنه سيكون ملك من قحطان فغضب معاوية فقام فأثنى على الله بما هو أهله ثم قال أما بعد فإنه بلغني أن رجالا منكم يتحدثون أحاديث ليست في كتاب الله ولا تؤثر عن رسول الله صلى الله عليه وسلم فأولئك جهالكم فإياكم والأماني التي تضل أهلها فإني سمعت رسول الله صلى الله عليه وسلم يقول إن هذا الأمر في قريش لا يعاديهم أحد إلا كبه الله على وجهه ما أقاموا الدين 	 حدثنا أبو اليمان أخبرنا شعيب عن الزهري قال كان محمد بن جبير بن مطعم يحدث أنه بلغ معاوية وهو عنده في وفد من قريش أن عبد الله بن عمرو بن العاص يحدث أنه سيكون ملك من قحطان فغضب معاوية فقام فأثنى على الله بما هو أهله ثم قال أما بعد فإنه بلغني أن رجالا منكم يتحدثون أحاديث ليست في كتاب الله ولا تؤثر عن رسول الله صلى الله عليه وسلم فأولئك جهالكم فإياكم والأماني التي تضل أهلها فإني سمعت رسول الله صلى الله عليه وسلم يقول إن هذا الأمر في قريش لا يعاديهم أحد إلا كبه الله على وجهه ما أقاموا الدين 	" Narrated Muhammad bin Jubair bin Mut`im: That while he was with a delegation from Quraish to Muawiya, the latter heard the news that `Abdullah bin `Amr bin Al-`As said that there would be a king from the tribe of Qahtan. On that Muawiya became angry, got up and then praised Allah as He deserved, and said, ""Now then, I have heard that some men amongst you narrate things which are neither in the Holy Book, nor have been told by Allah's Messenger (SL3M). Those men are the ignorant amongst you. Beware of such hopes as make the people go astray, for I heard Allah's Messenger (SL3M) saying, 'Authority of ruling will remain with Quraish, and whoever bears hostility to them, Allah will destroy him as long as they abide by the laws of the religion.' "" "
